order_id,customer_id,order_date,status,traffic_source,coupon_code,order_amount
50117,266,2024-12-04,Completed,Organic,,669.29
50118,134,2024-06-19,Completed,Email,,664.1700000000001
50119,26,2024-11-04,Completed,Referral,,106.58
50120,134,2024-03-05,Completed,Social,,927.2
50121,142,2024-03-15,Completed,Direct,,475.29
50122,30,2024-01-10,Completed,Paid Search,,237.08
50123,199,2024-11-03,Completed,Organic,,576.73
50124,305,2025-06-25,Completed,Paid Search,,258.5
50125,385,2025-09-12,Completed,Direct,WELCOME10,270.14
50126,264,2024-09-03,Completed,Paid Search,SPRING15,88.69
50127,85,2025-05-17,Completed,Social,,106.58
50128,18,2024-01-13,Completed,Social,WELCOME10,1150.65
50129,62,2025-09-02,Completed,Referral,VIP25,861.34
50130,108,2024-11-22,Completed,Organic,,711.38
50131,35,2024-06-02,Completed,Organic,,119.86
50132,203,2025-05-26,Completed,Paid Search,,132.87
50133,79,2024-07-23,Completed,Organic,VIP25,86.21000000000001
50134,299,2024-11-29,Completed,Paid Search,,117.58
50135,162,2024-12-04,Refunded,Paid Search,,756.62
50136,119,2024-12-29,Completed,Direct,WELCOME10,133.72
50137,306,2024-08-23,Completed,Referral,,11.69
50138,258,2024-07-31,Completed,Organic,,490.81999999999994
50139,255,2024-09-06,Completed,Direct,FREESHIP,441.86
50140,219,2024-08-24,Completed,Organic,FREESHIP,552.29
50141,83,2024-08-08,Completed,Organic,FREESHIP,290.68
50142,49,2024-03-30,Completed,Social,,292.13
50143,84,2024-09-02,Completed,Email,,144.8
50144,69,2024-05-24,Completed,Organic,,633.61
50145,368,2024-07-02,Refunded,Organic,,290.73
50146,17,2024-07-28,Completed,Referral,,19.21
50147,35,2024-06-27,Completed,Paid Search,WELCOME10,1300.5900000000001
50148,314,2025-05-12,Completed,Organic,WELCOME10,483.02
50149,56,2025-04-23,Completed,Social,SPRING15,1005.6700000000001
50150,162,2024-04-25,Completed,Direct,,1365.59
50151,225,2024-03-27,Completed,Paid Search,,410.34
50152,91,2024-03-06,Completed,Social,VIP25,381.65999999999997
50153,351,2024-02-16,Cancelled,Email,,536.06
50154,373,2024-01-14,Completed,Organic,,513.3100000000001
50155,116,2024-04-26,Refunded,Organic,SPRING15,416.49
50156,49,2024-01-07,Completed,Direct,WELCOME10,144.78
50157,384,2025-09-03,Completed,Direct,,173.01999999999998
50158,100,2025-03-08,Completed,Organic,,250.45
50159,69,2025-01-08,Cancelled,Email,,332.12
50160,323,2025-07-20,Cancelled,Paid Search,SPRING15,693.18
50161,279,2025-06-11,Completed,Direct,,294.53
50162,150,2024-03-10,Completed,Paid Search,VIP25,227.02
50163,293,2024-05-09,Completed,Email,,973.04
50164,302,2024-09-04,Completed,Referral,,438.79
50165,396,2024-01-13,Completed,Direct,WELCOME10,376.46000000000004
50166,280,2024-11-25,Completed,Organic,,826.28
50167,218,2025-02-03,Completed,Paid Search,,532.67
50168,187,2025-05-16,Refunded,Paid Search,,301.15
50169,139,2025-02-16,Completed,Direct,,297.43
50170,226,2024-04-04,Completed,Direct,VIP25,914.91
50171,210,2025-01-13,Completed,Social,WELCOME10,895.5699999999999
50172,58,2025-02-06,Completed,Organic,,725.95
50173,236,2024-01-06,Completed,Referral,,319.74
50174,374,2024-11-03,Completed,Organic,VIP25,871.63
50175,135,2024-03-20,Completed,Email,,1060.09
50176,109,2024-03-02,Completed,Referral,,73.54
50177,249,2024-06-30,Completed,Email,SPRING15,429.98
50178,44,2024-04-22,Completed,Referral,VIP25,417.53999999999996
50179,234,2025-09-30,Completed,Organic,,66.18
50180,297,2024-08-16,Refunded,Email,,49.9
50181,153,2025-08-20,Completed,Social,,511.32000000000005
50182,94,2025-01-03,Completed,Email,,723.16
50183,170,2024-09-24,Completed,Paid Search,SPRING15,58.1
50184,257,2025-01-10,Completed,Organic,SPRING15,886.01
50185,350,2025-07-07,Completed,Paid Search,WELCOME10,289.6
50186,62,2024-08-01,Completed,Paid Search,SPRING15,288.51
50187,381,2024-02-29,Completed,Direct,,434.44
50188,333,2024-03-05,Completed,Paid Search,,620.24
50189,194,2024-12-15,Completed,Direct,FREESHIP,316.37
50190,47,2024-01-23,Completed,Direct,,457.83000000000004
50191,170,2024-04-13,Completed,Paid Search,,683.54
50192,314,2025-07-04,Completed,Email,,244.89000000000001
50193,225,2025-08-28,Completed,Organic,,219.88
50194,71,2024-05-12,Completed,Organic,,350.6
50195,340,2025-07-28,Completed,Paid Search,,336.36
50196,398,2025-08-02,Completed,Paid Search,,259.65
50197,135,2024-01-31,Completed,Organic,VIP25,630.09
50198,377,2025-04-24,Completed,Social,,1059.94
50199,238,2024-06-04,Completed,Organic,,61.77
50200,211,2024-07-17,Completed,Social,,127.96
50201,114,2024-12-21,Completed,Referral,,200.85
50202,65,2024-09-13,Completed,Paid Search,,458.78999999999996
50203,336,2024-09-27,Completed,Direct,WELCOME10,75.38
50204,117,2025-02-09,Completed,Email,,73.33
50205,104,2025-07-19,Completed,Referral,,208.37
50206,311,2024-03-30,Completed,Paid Search,,420.88
50207,387,2024-06-24,Completed,Social,,940.3199999999999
50208,387,2025-08-11,Completed,Direct,WELCOME10,395.22
50209,276,2024-07-18,Completed,Paid Search,FREESHIP,88.69
50210,238,2024-10-01,Completed,Social,FREESHIP,81.66
50211,192,2025-08-14,Completed,Organic,VIP25,479.42
50212,272,2024-08-18,Completed,Referral,SPRING15,958.8100000000001
50213,54,2024-08-24,Completed,Email,,532.94
50214,228,2025-05-02,Completed,Paid Search,,257.29
50215,77,2024-02-22,Completed,Organic,,385.26
50216,249,2025-02-23,Completed,Referral,VIP25,310.46999999999997
50217,7,2024-02-09,Completed,Organic,VIP25,1050.71
50218,235,2025-03-20,Completed,Organic,,293.73
50219,368,2024-08-21,Completed,Social,VIP25,873.9000000000001
50220,367,2024-05-25,Completed,Paid Search,SPRING15,483.62
50221,81,2024-02-20,Completed,Referral,SPRING15,115.84
50222,348,2024-04-04,Cancelled,Organic,SPRING15,633.53
50223,149,2025-04-14,Completed,Organic,,436.49
50224,148,2025-02-19,Completed,Paid Search,WELCOME10,632.25
50225,1,2025-08-26,Completed,Organic,WELCOME10,243.68
50226,372,2024-07-26,Completed,Email,,731.95
50227,123,2025-02-17,Refunded,Referral,,30.14
50228,181,2024-02-28,Completed,Paid Search,WELCOME10,81.66
50229,306,2024-09-29,Completed,Organic,,1058.78
50230,234,2025-06-20,Cancelled,Social,,686.26
50231,140,2025-07-23,Completed,Referral,,573.3199999999999
50232,386,2025-07-19,Completed,Direct,,1206.68
50233,370,2025-06-12,Completed,Paid Search,,897.89
50234,221,2025-07-30,Completed,Organic,WELCOME10,576.54
50235,231,2024-01-14,Completed,Referral,,770.4
50236,283,2024-11-13,Completed,Social,,1148.91
50237,303,2024-12-18,Completed,Paid Search,,692.5600000000001
50238,69,2024-02-08,Completed,Organic,,627.13
50239,143,2024-02-21,Completed,Organic,,881.5
50240,131,2025-08-17,Completed,Organic,,342.56
50241,72,2025-04-06,Cancelled,Social,,548.85
50242,44,2025-01-29,Completed,Organic,,145.34
50243,395,2025-07-08,Completed,Organic,WELCOME10,318.11
50244,44,2025-06-28,Completed,Referral,,115.15
50245,325,2024-11-03,Completed,Direct,WELCOME10,1165.17
50246,19,2025-06-24,Completed,Direct,,1557.7
50247,214,2025-06-19,Completed,Email,WELCOME10,163.76999999999998
50248,13,2024-12-07,Completed,Social,,1021.81
50249,56,2025-08-29,Completed,Direct,,142.74
50250,142,2024-03-27,Completed,Direct,FREESHIP,324.78999999999996
50251,89,2025-02-12,Completed,Paid Search,WELCOME10,415.75
50252,273,2025-09-12,Completed,Paid Search,,258.78
50253,248,2024-07-14,Completed,Email,,278.15999999999997
50254,303,2025-05-16,Completed,Referral,,625.41
50255,65,2024-12-30,Completed,Paid Search,,223.91
50256,21,2025-01-04,Completed,Organic,,16.48
50257,20,2024-08-16,Completed,Organic,SPRING15,979.1600000000001
50258,384,2025-05-03,Completed,Direct,,293.67
50259,347,2025-06-09,Completed,Paid Search,,489.06000000000006
50260,4,2024-02-05,Completed,Organic,,775.35
50261,82,2024-01-05,Completed,Direct,FREESHIP,724.99
50262,294,2024-01-25,Completed,Direct,,73.78999999999999
50263,211,2024-06-24,Completed,Organic,,191.94
50264,57,2025-03-02,Completed,Email,,697.2
50265,208,2024-04-16,Completed,Organic,,177.49
50266,78,2025-06-02,Completed,Organic,,755.6300000000001
50267,164,2024-08-08,Completed,Organic,,185.14999999999998
50268,150,2024-09-28,Completed,Direct,,200.81
50269,52,2025-07-16,Completed,Social,WELCOME10,651.1
50270,149,2024-07-12,Completed,Referral,FREESHIP,542.46
50271,283,2025-09-11,Completed,Organic,,156.96
50272,86,2024-05-21,Cancelled,Email,SPRING15,711.6999999999999
50273,336,2024-09-01,Completed,Organic,WELCOME10,1418.66
50274,398,2024-10-22,Cancelled,Organic,WELCOME10,26.77
50275,72,2025-05-18,Completed,Organic,VIP25,608.79
50276,76,2025-07-28,Completed,Referral,,593.35
50277,194,2024-12-09,Completed,Referral,,765.08
50278,22,2024-03-18,Refunded,Organic,VIP25,826.52
50279,179,2025-02-13,Completed,Organic,,474.58
50280,176,2025-01-08,Completed,Paid Search,WELCOME10,53.54
50281,38,2025-07-21,Completed,Email,WELCOME10,672.47
50282,152,2024-10-02,Completed,Organic,,709.0799999999999
50283,142,2024-04-04,Completed,Direct,WELCOME10,264.8
50284,383,2024-12-28,Completed,Direct,SPRING15,110.31
50285,140,2025-04-10,Completed,Paid Search,,170.37
50286,65,2025-01-02,Completed,Referral,,197.24
50287,276,2024-04-17,Completed,Organic,SPRING15,374.65
50288,321,2024-02-14,Refunded,Direct,FREESHIP,951.72
50289,28,2024-02-05,Completed,Organic,WELCOME10,209.26
50290,316,2024-05-25,Completed,Direct,WELCOME10,1010.1800000000001
50291,161,2024-10-17,Completed,Organic,SPRING15,503.49
50292,44,2025-07-03,Completed,Organic,WELCOME10,151.82999999999998
50293,214,2024-06-10,Completed,Organic,,573.45
50294,50,2024-10-16,Completed,Referral,WELCOME10,460.21
50295,60,2025-01-01,Completed,Social,VIP25,985.3199999999999
50296,375,2025-03-16,Completed,Direct,WELCOME10,370.09
50297,120,2025-07-08,Completed,Referral,,35.07
50298,308,2024-04-01,Completed,Organic,VIP25,303.56
50299,342,2024-01-28,Completed,Referral,SPRING15,670.67
50300,59,2024-10-07,Completed,Direct,VIP25,102.4
50301,334,2024-03-22,Completed,Direct,FREESHIP,233.20999999999998
50302,202,2024-02-11,Completed,Social,,204.46
50303,59,2024-03-24,Completed,Organic,SPRING15,782.9300000000001
50304,169,2025-06-20,Refunded,Referral,,888.7700000000001
50305,17,2024-07-22,Completed,Referral,,458.36
50306,158,2025-09-01,Completed,Paid Search,,173.76
50307,148,2024-11-28,Completed,Referral,,463.13
50308,194,2024-08-15,Completed,Paid Search,,703.68
50309,295,2024-03-23,Completed,Paid Search,,191.01999999999998
50310,172,2024-05-26,Completed,Direct,,888.83
50311,357,2024-09-27,Completed,Organic,,505.05
50312,110,2024-11-02,Completed,Social,FREESHIP,709.39
50313,76,2024-03-13,Completed,Referral,SPRING15,184.08999999999997
50314,102,2024-06-16,Completed,Direct,,371.55
50315,261,2024-12-05,Completed,Social,VIP25,431.84000000000003
50316,133,2025-07-27,Completed,Organic,WELCOME10,858.6700000000001
50317,276,2024-10-28,Completed,Paid Search,,222.54
50318,361,2024-04-13,Completed,Paid Search,,437.45
50319,215,2024-03-31,Completed,Email,SPRING15,161.28
50320,254,2025-04-28,Cancelled,Organic,,831.43
50321,268,2025-01-12,Completed,Social,,897.71
50322,244,2025-09-04,Cancelled,Direct,,824.05
50323,308,2024-08-13,Completed,Paid Search,VIP25,816.03
50324,31,2025-06-11,Completed,Paid Search,SPRING15,297.06
50325,178,2024-02-06,Completed,Paid Search,,857.8
50326,116,2025-08-03,Completed,Organic,,566.1600000000001
50327,392,2024-02-01,Completed,Paid Search,WELCOME10,347.66
50328,337,2024-07-05,Completed,Organic,,503.88000000000005
50329,290,2024-04-07,Completed,Direct,WELCOME10,353.94
50330,168,2024-09-13,Completed,Direct,,319.74
50331,214,2025-02-13,Completed,Organic,,844.76
50332,249,2025-02-27,Completed,Social,,504.14000000000004
50333,128,2025-01-26,Completed,Referral,SPRING15,272.86
50334,9,2025-07-11,Completed,Organic,,284.92
50335,274,2025-07-23,Cancelled,Referral,FREESHIP,677.81
50336,304,2025-04-14,Completed,Direct,WELCOME10,125.99000000000001
50337,223,2024-03-12,Completed,Direct,,885.84
50338,137,2024-02-17,Completed,Organic,,784.87
50339,302,2024-05-17,Completed,Referral,,343.52
50340,258,2025-06-19,Completed,Direct,,1401.95
50341,374,2024-08-31,Completed,Referral,,196.86
50342,246,2024-04-20,Completed,Organic,,583.0
50343,327,2024-05-12,Completed,Organic,,348.71000000000004
50344,41,2024-12-10,Completed,Email,,511.11
50345,227,2025-08-08,Completed,Social,,340.74
50346,234,2025-05-23,Completed,Email,WELCOME10,1087.62
50347,82,2024-12-08,Completed,Direct,,250.48
50348,127,2025-02-07,Completed,Paid Search,,161.84
50349,199,2025-04-04,Completed,Paid Search,WELCOME10,923.45
50350,114,2024-03-28,Completed,Organic,,822.93
50351,118,2025-02-22,Completed,Paid Search,,547.06
50352,340,2025-02-12,Completed,Referral,,394.59000000000003
50353,360,2024-09-01,Completed,Organic,,450.96999999999997
50354,206,2025-02-25,Completed,Paid Search,,376.63
50355,307,2024-01-09,Completed,Referral,SPRING15,457.33000000000004
50356,281,2024-08-10,Completed,Organic,WELCOME10,74.05
50357,337,2025-09-23,Completed,Paid Search,,23.38
50358,371,2024-08-07,Completed,Direct,SPRING15,434.34000000000003
50359,105,2025-04-15,Completed,Paid Search,,1021.06
50360,226,2024-05-06,Completed,Paid Search,WELCOME10,315.13
50361,186,2025-09-04,Completed,Referral,,828.09
50362,274,2024-07-24,Refunded,Paid Search,,319.74
50363,387,2025-06-16,Completed,Organic,,219.48
50364,380,2025-07-30,Completed,Organic,,493.34
50365,320,2024-06-26,Completed,Organic,WELCOME10,190.95999999999998
50366,220,2025-02-01,Completed,Social,,830.98
50367,331,2024-04-21,Completed,Email,WELCOME10,1123.91
50368,129,2025-08-10,Completed,Paid Search,FREESHIP,1040.6399999999999
50369,93,2025-07-15,Completed,Paid Search,,679.19
50370,66,2024-12-20,Refunded,Paid Search,,819.7
50371,248,2025-01-24,Completed,Paid Search,WELCOME10,159.57999999999998
50372,281,2024-03-05,Completed,Email,,434.06
50373,354,2024-11-04,Completed,Social,,458.48
50374,31,2024-07-03,Completed,Social,,130.84
50375,375,2024-11-06,Completed,Organic,,58.1
50376,79,2025-03-31,Completed,Social,,101.78999999999999
50377,114,2024-04-05,Completed,Organic,,326.2
50378,50,2025-02-04,Completed,Social,,660.6
50379,136,2025-08-11,Completed,Organic,FREESHIP,379.29999999999995
50380,17,2025-02-11,Completed,Paid Search,,57.269999999999996
50381,134,2024-07-22,Completed,Organic,WELCOME10,260.64
50382,228,2025-06-20,Completed,Email,FREESHIP,1411.75
50383,263,2025-04-10,Completed,Email,SPRING15,519.4200000000001
50384,129,2024-10-20,Completed,Paid Search,,475.29
50385,196,2025-03-07,Completed,Social,,473.65999999999997
50386,329,2025-04-26,Completed,Referral,,173.12
50387,151,2025-07-08,Completed,Organic,VIP25,63.98
50388,269,2025-04-23,Completed,Direct,,564.42
50389,32,2024-07-18,Completed,Organic,VIP25,542.74
50390,400,2025-09-08,Completed,Referral,,1130.13
50391,58,2024-07-15,Completed,Direct,SPRING15,1093.23
50392,273,2024-04-21,Completed,Organic,WELCOME10,173.89000000000001
50393,159,2025-09-15,Completed,Direct,,484.83
50394,33,2025-07-25,Completed,Email,WELCOME10,81.66
50395,213,2024-08-03,Completed,Organic,FREESHIP,81.66
50396,11,2024-11-29,Completed,Email,,394.58
50397,97,2024-10-27,Completed,Organic,SPRING15,1130.74
50398,8,2024-11-15,Completed,Referral,WELCOME10,146.51
50399,237,2024-09-27,Completed,Direct,,176.37
50400,319,2025-05-13,Completed,Direct,,399.78
50401,282,2024-03-30,Completed,Social,,803.3
50402,185,2024-02-08,Completed,Social,WELCOME10,402.58
50403,199,2025-01-10,Completed,Email,,122.49
50404,69,2024-03-05,Completed,Social,,713.79
50405,121,2025-01-17,Completed,Referral,SPRING15,299.52
50406,124,2024-08-10,Completed,Email,VIP25,312.45
50407,62,2024-03-05,Completed,Social,,740.96
50408,235,2025-06-26,Completed,Organic,,806.6600000000001
50409,259,2025-07-23,Completed,Email,FREESHIP,726.66
50410,114,2025-07-06,Completed,Referral,,564.2
50411,265,2024-04-18,Completed,Organic,,61.0
50412,132,2025-03-16,Completed,Email,VIP25,525.62
50413,190,2025-02-20,Completed,Direct,WELCOME10,173.76
50414,218,2024-06-20,Completed,Email,,241.06
50415,327,2024-03-02,Completed,Referral,WELCOME10,685.48
50416,370,2025-08-28,Cancelled,Direct,,222.26
50417,141,2025-08-17,Completed,Social,,1106.3200000000002
50418,299,2025-06-16,Cancelled,Organic,VIP25,47.58
50419,177,2025-08-03,Completed,Social,,710.96
50420,237,2024-10-04,Completed,Social,WELCOME10,1269.17
50421,397,2025-06-13,Completed,Organic,,886.6099999999999
50422,78,2024-05-21,Completed,Direct,VIP25,677.73
50423,145,2024-04-20,Completed,Direct,,282.24
50424,13,2024-01-16,Refunded,Paid Search,WELCOME10,494.42999999999995
50425,74,2024-07-14,Completed,Referral,,81.66
50426,173,2024-06-08,Completed,Paid Search,,774.5699999999999
50427,301,2024-08-18,Completed,Paid Search,SPRING15,396.29
50428,77,2025-08-05,Completed,Organic,,732.36
50429,243,2024-06-14,Completed,Direct,WELCOME10,336.22
50430,89,2024-07-13,Completed,Email,,619.9399999999999
50431,261,2024-03-03,Completed,Organic,SPRING15,866.99
50432,149,2025-06-05,Refunded,Referral,VIP25,955.6899999999999
50433,132,2025-04-09,Completed,Direct,,712.14
50434,147,2024-02-11,Completed,Direct,,1021.75
50435,305,2025-01-13,Completed,Organic,,932.0799999999999
50436,211,2024-08-17,Completed,Paid Search,,344.25
50437,274,2025-02-26,Completed,Direct,WELCOME10,1163.27
50438,269,2025-04-01,Completed,Paid Search,,785.95
50439,86,2024-05-03,Completed,Email,SPRING15,508.24
50440,263,2025-04-26,Completed,Organic,,1163.94
50441,19,2025-05-07,Completed,Direct,SPRING15,302.78
50442,358,2024-12-13,Completed,Organic,,636.13
50443,176,2025-02-12,Completed,Paid Search,,176.37
50444,304,2024-10-09,Completed,Social,WELCOME10,132.87
50445,239,2024-09-15,Completed,Organic,,146.16
50446,304,2024-10-06,Completed,Referral,,658.56
50447,371,2025-05-28,Completed,Paid Search,WELCOME10,96.91
50448,365,2025-07-04,Completed,Referral,,603.32
50449,179,2025-04-02,Cancelled,Paid Search,,524.89
50450,376,2024-07-06,Completed,Direct,FREESHIP,994.89
50451,219,2024-06-01,Completed,Organic,,422.43
50452,298,2025-01-20,Completed,Organic,,523.54
50453,224,2025-03-01,Completed,Paid Search,VIP25,295.79
50454,389,2024-04-21,Completed,Email,,357.03
50455,42,2024-01-26,Completed,Paid Search,WELCOME10,185.44
50456,148,2025-07-27,Completed,Paid Search,,242.76
50457,394,2024-10-25,Completed,Direct,,526.3900000000001
50458,155,2024-07-12,Completed,Referral,,395.07
50459,256,2025-09-28,Completed,Organic,FREESHIP,49.44
50460,154,2024-10-18,Completed,Email,SPRING15,33.22
50461,104,2024-06-27,Completed,Referral,,265.74
50462,43,2024-02-02,Completed,Social,,193.13
50463,68,2025-03-22,Completed,Organic,,750.37
50464,317,2025-03-21,Completed,Organic,,721.63
50465,22,2024-01-18,Completed,Email,,522.35
50466,156,2024-04-29,Refunded,Referral,SPRING15,799.51
50467,218,2025-01-24,Completed,Social,,879.84
50468,198,2024-02-07,Refunded,Social,,781.9200000000001
50469,219,2024-11-08,Completed,Email,VIP25,694.9200000000001
50470,138,2025-07-04,Completed,Paid Search,,297.92
50471,31,2025-02-12,Completed,Organic,,650.04
50472,238,2024-11-02,Completed,Paid Search,WELCOME10,368.57
50473,152,2025-01-11,Completed,Social,,58.79
50474,166,2025-03-13,Completed,Social,,137.04
50475,111,2024-08-20,Completed,Email,,58.1
50476,157,2025-06-25,Completed,Organic,,548.83
50477,363,2025-07-27,Completed,Social,,884.0500000000001
50478,155,2024-02-27,Completed,Paid Search,,800.83
50479,345,2025-07-15,Completed,Paid Search,VIP25,563.11
50480,378,2024-12-31,Completed,Referral,,1430.47
50481,160,2025-05-29,Completed,Paid Search,,38.42
50482,161,2024-09-18,Completed,Referral,SPRING15,397.02
50483,274,2024-11-05,Completed,Social,VIP25,36.77
50484,340,2024-02-03,Completed,Referral,SPRING15,555.22
50485,368,2024-04-01,Completed,Social,WELCOME10,139.35
50486,37,2024-01-21,Completed,Email,,447.03
50487,327,2024-04-10,Completed,Paid Search,FREESHIP,850.99
50488,257,2025-05-24,Completed,Referral,SPRING15,340.74
50489,350,2025-08-15,Completed,Organic,,334.8
50490,48,2024-10-28,Completed,Social,,521.03
50491,316,2024-07-12,Completed,Paid Search,,446.48
50492,374,2024-07-11,Completed,Social,WELCOME10,453.26
