order_id,product_id,quantity,unit_price,unit_cost
50045,1039,2,66.86,55.62
50045,1018,3,63.98,54.67
50046,1033,1,173.12,114.12
50046,1008,3,103.49,74.13
50047,1007,1,144.78,104.61
50048,1031,3,30.5,24.61
50048,1018,3,63.98,54.67
50049,1014,2,36.77,25.91
50049,1033,1,173.12,114.12
50049,1019,2,49.9,38.49
50049,1030,1,112.12,74.87
50049,1029,1,16.48,10.34
50050,1005,3,33.22,22.94
50050,1004,3,29.05,22.94
50050,1010,1,11.69,7.37
50050,1032,3,14.38,12.48
50050,1029,2,16.48,10.34
50051,1031,3,30.5,24.61
50051,1026,2,33.93,27.96
50051,1033,3,173.12,114.12
50051,1034,1,170.37,116.05
50052,1021,2,26.77,21.04
50052,1013,2,45.68,29.42
50052,1000,1,57.92,48.07
50052,1012,1,158.43,100.73
50053,1031,1,30.5,24.61
50054,1027,1,96.91,64.14
50054,1001,1,156.96,114.33
50054,1022,1,58.79,38.6
50055,1035,1,144.8,97.97
50055,1032,3,14.38,12.48
50055,1014,2,36.77,25.91
50055,1012,1,158.43,100.73
50056,1038,1,109.74,83.69
50056,1018,1,63.98,54.67
50056,1036,1,59.93,40.03
50057,1019,2,49.9,38.49
50058,1028,3,86.55,73.13
50058,1007,3,144.78,104.61
50058,1036,1,59.93,40.03
50058,1000,3,57.92,48.07
50059,1005,2,33.22,22.94
50060,1007,1,144.78,104.61
50060,1024,3,73.33,57.45
50061,1039,1,66.86,55.62
50061,1028,1,86.55,73.13
50061,1035,1,144.8,97.97
50061,1009,1,106.58,86.43
50062,1017,1,80.92,65.35
50062,1024,1,73.33,57.45
50062,1038,1,109.74,83.69
50063,1012,1,158.43,100.73
50063,1026,3,33.93,27.96
50063,1019,1,49.9,38.49
50063,1010,3,11.69,7.37
50063,1005,2,33.22,22.94
50064,1017,1,80.92,65.35
50064,1003,1,115.15,73.85
50064,1039,3,66.86,55.62
50065,1002,1,103.94,89.18
50065,1028,1,86.55,73.13
50066,1034,1,170.37,116.05
50066,1029,2,16.48,10.34
50066,1001,3,156.96,114.33
50066,1039,1,66.86,55.62
50067,1014,1,36.77,25.91
50068,1006,3,15.07,11.68
50068,1020,1,99.84,75.36
50068,1008,1,103.49,74.13
50068,1025,1,132.87,95.3
50068,1017,3,80.92,65.35
50069,1033,1,173.12,114.12
50069,1034,3,170.37,116.05
50069,1005,2,33.22,22.94
50069,1013,3,45.68,29.42
50069,1030,2,112.12,74.87
50070,1038,2,109.74,83.69
50070,1002,3,103.94,89.18
50070,1020,2,99.84,75.36
50070,1011,2,174.67,116.54
50070,1006,1,15.07,11.68
50071,1019,3,49.9,38.49
50071,1013,2,45.68,29.42
50072,1035,2,144.8,97.97
50072,1030,1,112.12,74.87
50072,1037,2,19.21,16.23
50072,1005,1,33.22,22.94
50073,1017,2,80.92,65.35
50073,1027,3,96.91,64.14
50073,1038,3,109.74,83.69
50074,1001,2,156.96,114.33
50074,1029,2,16.48,10.34
50074,1024,2,73.33,57.45
50074,1015,2,40.83,26.09
50074,1000,1,57.92,48.07
50075,1034,3,170.37,116.05
50075,1033,1,173.12,114.12
50075,1023,2,61.77,47.13
50076,1033,2,173.12,114.12
50076,1037,1,19.21,16.23
50076,1008,3,103.49,74.13
50076,1027,3,96.91,64.14
50077,1028,1,86.55,73.13
50077,1038,2,109.74,83.69
50077,1014,3,36.77,25.91
50078,1007,2,144.78,104.61
50078,1000,3,57.92,48.07
50079,1007,2,144.78,104.61
50079,1010,1,11.69,7.37
50079,1029,2,16.48,10.34
50080,1022,3,58.79,38.6
50081,1028,3,86.55,73.13
50081,1029,1,16.48,10.34
50081,1023,3,61.77,47.13
50082,1023,3,61.77,47.13
50082,1001,1,156.96,114.33
50083,1018,2,63.98,54.67
50084,1005,2,33.22,22.94
50084,1003,1,115.15,73.85
50084,1031,3,30.5,24.61
50085,1022,3,58.79,38.6
50085,1019,1,49.9,38.49
50085,1029,1,16.48,10.34
50086,1024,2,73.33,57.45
50086,1022,1,58.79,38.6
50086,1039,2,66.86,55.62
50086,1005,1,33.22,22.94
50086,1019,3,49.9,38.49
50087,1022,3,58.79,38.6
50087,1035,3,144.8,97.97
50088,1037,3,19.21,16.23
50088,1016,3,47.58,39.99
50088,1029,1,16.48,10.34
50088,1039,3,66.86,55.62
50088,1019,2,49.9,38.49
50089,1022,2,58.79,38.6
50090,1039,1,66.86,55.62
50090,1023,1,61.77,47.13
50090,1001,2,156.96,114.33
50091,1005,1,33.22,22.94
50091,1021,3,26.77,21.04
50091,1001,2,156.96,114.33
50091,1011,3,174.67,116.54
50092,1015,1,40.83,26.09
50092,1000,1,57.92,48.07
50093,1029,1,16.48,10.34
50093,1004,1,29.05,22.94
50094,1017,2,80.92,65.35
50094,1025,1,132.87,95.3
50094,1016,1,47.58,39.99
50094,1035,3,144.8,97.97
50095,1033,3,173.12,114.12
50096,1003,3,115.15,73.85
50097,1006,3,15.07,11.68
50097,1025,1,132.87,95.3
50098,1012,2,158.43,100.73
50098,1007,1,144.78,104.61
50098,1031,2,30.5,24.61
50098,1039,1,66.86,55.62
50098,1028,1,86.55,73.13
50099,1033,3,173.12,114.12
50100,1006,2,15.07,11.68
50100,1003,3,115.15,73.85
50100,1018,1,63.98,54.67
50100,1001,3,156.96,114.33
50101,1021,3,26.77,21.04
50101,1008,2,103.49,74.13
50102,1034,2,170.37,116.05
50102,1024,3,73.33,57.45
50102,1033,2,173.12,114.12
50102,1000,1,57.92,48.07
50102,1016,3,47.58,39.99
50103,1035,1,144.8,97.97
50103,1024,3,73.33,57.45
50103,1001,2,156.96,114.33
50103,1013,1,45.68,29.42
50104,1007,1,144.78,104.61
50104,1020,3,99.84,75.36
50104,1017,2,80.92,65.35
50104,1023,3,61.77,47.13
50104,1012,1,158.43,100.73
50105,1036,3,59.93,40.03
50105,1002,3,103.94,89.18
50106,1032,3,14.38,12.48
50106,1029,1,16.48,10.34
50106,1013,2,45.68,29.42
50106,1007,2,144.78,104.61
50107,1007,2,144.78,104.61
50107,1014,2,36.77,25.91
50107,1024,3,73.33,57.45
50107,1005,2,33.22,22.94
50108,1002,2,103.94,89.18
50108,1018,1,63.98,54.67
50109,1002,1,103.94,89.18
50109,1016,1,47.58,39.99
50110,1032,2,14.38,12.48
50110,1036,3,59.93,40.03
50110,1017,1,80.92,65.35
50111,1034,3,170.37,116.05
50112,1013,1,45.68,29.42
50112,1004,3,29.05,22.94
50112,1000,3,57.92,48.07
50113,1004,2,29.05,22.94
50113,1001,2,156.96,114.33
50113,1022,1,58.79,38.6
50113,1026,1,33.93,27.96
50114,1038,3,109.74,83.69
50114,1012,2,158.43,100.73
50114,1028,1,86.55,73.13
50114,1018,2,63.98,54.67
50114,1013,1,45.68,29.42
50115,1027,1,96.91,64.14
50116,1029,3,16.48,10.34
50116,1000,1,57.92,48.07
50116,1018,3,63.98,54.67
50116,1019,3,49.9,38.49
50116,1033,3,173.12,114.12
50117,1010,2,11.69,7.37
50117,1025,2,132.87,95.3
50117,1039,2,66.86,55.62
50117,1033,1,173.12,114.12
50117,1024,1,73.33,57.45
50118,1016,3,47.58,39.99
50118,1029,3,16.48,10.34
50118,1023,3,61.77,47.13
50118,1014,3,36.77,25.91
50118,1022,3,58.79,38.6
50119,1009,1,106.58,86.43
50120,1002,2,103.94,89.18
50120,1033,3,173.12,114.12
50120,1027,1,96.91,64.14
50120,1010,1,11.69,7.37
50120,1013,2,45.68,29.42
50121,1012,3,158.43,100.73
50122,1006,1,15.07,11.68
50122,1018,1,63.98,54.67
50122,1031,1,30.5,24.61
50122,1000,2,57.92,48.07
50122,1010,1,11.69,7.37
50123,1036,2,59.93,40.03
50123,1029,1,16.48,10.34
50123,1037,3,19.21,16.23
50123,1021,2,26.77,21.04
50123,1038,3,109.74,83.69
50124,1039,3,66.86,55.62
50124,1000,1,57.92,48.07
50125,1029,3,16.48,10.34
50125,1018,3,63.98,54.67
50125,1032,2,14.38,12.48
50126,1036,1,59.93,40.03
50126,1032,2,14.38,12.48
50127,1009,1,106.58,86.43
50128,1027,3,96.91,64.14
50128,1015,3,40.83,26.09
50128,1004,3,29.05,22.94
50128,1001,2,156.96,114.33
50128,1030,3,112.12,74.87
50129,1012,1,158.43,100.73
50129,1009,3,106.58,86.43
50129,1037,3,19.21,16.23
50129,1008,3,103.49,74.13
50129,1006,1,15.07,11.68
50130,1007,3,144.78,104.61
50130,1028,2,86.55,73.13
50130,1002,1,103.94,89.18
50131,1036,2,59.93,40.03
50132,1025,1,132.87,95.3
50133,1029,3,16.48,10.34
50133,1014,1,36.77,25.91
50134,1022,2,58.79,38.6
50135,1013,3,45.68,29.42
50135,1025,2,132.87,95.3
50135,1003,2,115.15,73.85
50135,1023,2,61.77,47.13
50136,1039,2,66.86,55.62
50137,1010,1,11.69,7.37
50138,1005,2,33.22,22.94
50138,1038,3,109.74,83.69
50138,1016,2,47.58,39.99
50139,1038,1,109.74,83.69
50139,1031,3,30.5,24.61
50139,1030,1,112.12,74.87
50139,1016,1,47.58,39.99
50139,1017,1,80.92,65.35
50140,1016,3,47.58,39.99
50140,1020,1,99.84,75.36
50140,1036,3,59.93,40.03
50140,1037,2,19.21,16.23
50140,1031,3,30.5,24.61
50141,1005,2,33.22,22.94
50141,1030,2,112.12,74.87
50142,1032,3,14.38,12.48
50142,1004,3,29.05,22.94
50142,1017,2,80.92,65.35
50143,1035,1,144.8,97.97
50144,1003,1,115.15,73.85
50144,1001,3,156.96,114.33
50144,1016,1,47.58,39.99
50145,1027,3,96.91,64.14
50146,1037,1,19.21,16.23
50147,1033,3,173.12,114.12
50147,1010,3,11.69,7.37
50147,1007,3,144.78,104.61
50147,1002,3,103.94,89.18
50148,1024,2,73.33,57.45
50148,1030,3,112.12,74.87
50149,1003,3,115.15,73.85
50149,1030,2,112.12,74.87
50149,1022,3,58.79,38.6
50149,1036,1,59.93,40.03
50149,1020,2,99.84,75.36
50150,1020,2,99.84,75.36
50150,1035,3,144.8,97.97
50150,1002,2,103.94,89.18
50150,1008,3,103.49,74.13
50150,1009,2,106.58,86.43
50151,1031,2,30.5,24.61
50151,1011,2,174.67,116.54
50152,1007,1,144.78,104.61
50152,1020,1,99.84,75.36
50152,1013,3,45.68,29.42
50153,1030,2,112.12,74.87
50153,1002,3,103.94,89.18
50154,1021,1,26.77,21.04
50154,1035,1,144.8,97.97
50154,1017,1,80.92,65.35
50154,1024,3,73.33,57.45
50154,1015,1,40.83,26.09
50155,1013,3,45.68,29.42
50155,1005,3,33.22,22.94
50155,1036,3,59.93,40.03
50156,1007,1,144.78,104.61
50157,1005,2,33.22,22.94
50157,1009,1,106.58,86.43
50158,1022,2,58.79,38.6
50158,1025,1,132.87,95.3
50159,1032,3,14.38,12.48
50159,1027,2,96.91,64.14
50159,1016,2,47.58,39.99
50160,1039,3,66.86,55.62
50160,1030,1,112.12,74.87
50160,1000,3,57.92,48.07
50160,1018,1,63.98,54.67
50160,1016,3,47.58,39.99
50161,1011,1,174.67,116.54
50161,1036,2,59.93,40.03
50162,1026,2,33.93,27.96
50162,1007,1,144.78,104.61
50162,1032,1,14.38,12.48
50163,1026,3,33.93,27.96
50163,1024,2,73.33,57.45
50163,1039,3,66.86,55.62
50163,1011,3,174.67,116.54
50164,1009,3,106.58,86.43
50164,1020,1,99.84,75.36
50164,1037,1,19.21,16.23
50165,1005,1,33.22,22.94
50165,1029,3,16.48,10.34
50165,1022,1,58.79,38.6
50165,1036,2,59.93,40.03
50165,1003,1,115.15,73.85
50166,1004,1,29.05,22.94
50166,1035,2,144.8,97.97
50166,1011,2,174.67,116.54
50166,1003,1,115.15,73.85
50166,1032,3,14.38,12.48
50167,1003,1,115.15,73.85
50167,1007,2,144.78,104.61
50167,1018,2,63.98,54.67
50168,1000,2,57.92,48.07
50168,1023,3,61.77,47.13
50169,1030,1,112.12,74.87
50169,1023,3,61.77,47.13
50170,1015,2,40.83,26.09
50170,1012,3,158.43,100.73
50170,1035,1,144.8,97.97
50170,1009,2,106.58,86.43
50171,1015,1,40.83,26.09
50171,1000,3,57.92,48.07
50171,1012,2,158.43,100.73
50171,1010,2,11.69,7.37
50171,1034,2,170.37,116.05
50172,1031,3,30.5,24.61
50172,1019,1,49.9,38.49
50172,1037,2,19.21,16.23
50172,1021,1,26.77,21.04
50172,1033,3,173.12,114.12
50173,1009,3,106.58,86.43
50174,1037,3,19.21,16.23
50174,1022,1,58.79,38.6
50174,1001,3,156.96,114.33
50174,1017,2,80.92,65.35
50174,1015,3,40.83,26.09
50175,1028,3,86.55,73.13
50175,1027,3,96.91,64.14
50175,1021,3,26.77,21.04
50175,1022,2,58.79,38.6
50175,1002,3,103.94,89.18
50176,1014,2,36.77,25.91
50177,1020,2,99.84,75.36
50177,1003,2,115.15,73.85
50178,1015,3,40.83,26.09
50178,1038,1,109.74,83.69
50178,1023,3,61.77,47.13
50179,1029,2,16.48,10.34
50179,1005,1,33.22,22.94
50180,1019,1,49.9,38.49
50181,1006,3,15.07,11.68
50181,1029,3,16.48,10.34
50181,1021,3,26.77,21.04
50181,1030,3,112.12,74.87
50182,1013,2,45.68,29.42
50182,1029,2,16.48,10.34
50182,1018,2,63.98,54.67
50182,1001,3,156.96,114.33
50183,1004,2,29.05,22.94
50184,1006,2,15.07,11.68
50184,1009,3,106.58,86.43
50184,1037,2,19.21,16.23
50184,1008,2,103.49,74.13
50184,1027,3,96.91,64.14
50185,1035,2,144.8,97.97
50186,1010,3,11.69,7.37
50186,1027,2,96.91,64.14
50186,1032,3,14.38,12.48
50186,1029,1,16.48,10.34
50187,1022,2,58.79,38.6
50187,1012,2,158.43,100.73
50188,1034,2,170.37,116.05
50188,1006,2,15.07,11.68
50188,1026,2,33.93,27.96
50188,1018,2,63.98,54.67
50188,1021,2,26.77,21.04
50189,1035,2,144.8,97.97
50189,1021,1,26.77,21.04
50190,1037,1,19.21,16.23
50190,1006,2,15.07,11.68
50190,1016,3,47.58,39.99
50190,1025,2,132.87,95.3
50191,1001,1,156.96,114.33
50191,1009,1,106.58,86.43
50191,1037,2,19.21,16.23
50191,1000,2,57.92,48.07
50191,1025,2,132.87,95.3
50192,1006,3,15.07,11.68
50192,1020,2,99.84,75.36
50193,1006,3,15.07,11.68
50193,1011,1,174.67,116.54
50194,1014,1,36.77,25.91
50194,1021,3,26.77,21.04
50194,1004,2,29.05,22.94
50194,1024,2,73.33,57.45
50194,1032,2,14.38,12.48
50195,1030,3,112.12,74.87
50196,1028,3,86.55,73.13
50197,1033,1,173.12,114.12
50197,1038,1,109.74,83.69
50197,1037,3,19.21,16.23
50197,1035,2,144.8,97.97
50198,1035,3,144.8,97.97
50198,1000,2,57.92,48.07
50198,1006,3,15.07,11.68
50198,1011,2,174.67,116.54
50198,1003,1,115.15,73.85
50199,1023,1,61.77,47.13
50200,1018,2,63.98,54.67
50201,1002,1,103.94,89.18
50201,1027,1,96.91,64.14
50202,1006,1,15.07,11.68
50202,1038,2,109.74,83.69
50202,1030,2,112.12,74.87
50203,1032,1,14.38,12.48
50203,1031,2,30.5,24.61
50204,1024,1,73.33,57.45
50205,1009,1,106.58,86.43
50205,1026,3,33.93,27.96
50206,1025,2,132.87,95.3
50206,1006,3,15.07,11.68
50206,1028,1,86.55,73.13
50206,1010,2,11.69,7.37
50207,1017,1,80.92,65.35
50207,1036,2,59.93,40.03
50207,1001,2,156.96,114.33
50207,1003,1,115.15,73.85
50207,1008,3,103.49,74.13
50208,1009,2,106.58,86.43
50208,1010,1,11.69,7.37
50208,1034,1,170.37,116.05
50209,1036,1,59.93,40.03
50209,1032,2,14.38,12.48
50210,1015,2,40.83,26.09
50211,1003,1,115.15,73.85
50211,1027,3,96.91,64.14
50211,1014,2,36.77,25.91
50212,1034,3,170.37,116.05
50212,1009,3,106.58,86.43
50212,1018,2,63.98,54.67
50213,1015,1,40.83,26.09
50213,1027,1,96.91,64.14
50213,1014,1,36.77,25.91
50213,1033,1,173.12,114.12
50213,1023,3,61.77,47.13
50214,1022,3,58.79,38.6
50214,1017,1,80.92,65.35
50215,1014,3,36.77,25.91
50215,1032,2,14.38,12.48
50215,1034,1,170.37,116.05
50215,1006,2,15.07,11.68
50215,1013,1,45.68,29.42
50216,1008,3,103.49,74.13
50217,1028,3,86.55,73.13
50217,1030,1,112.12,74.87
50217,1007,3,144.78,104.61
50217,1019,2,49.9,38.49
50217,1035,1,144.8,97.97
50218,1026,3,33.93,27.96
50218,1018,3,63.98,54.67
50219,1012,3,158.43,100.73
50219,1025,3,132.87,95.3
50220,1024,3,73.33,57.45
50220,1017,2,80.92,65.35
50220,1026,3,33.93,27.96
50221,1000,2,57.92,48.07
50222,1019,1,49.9,38.49
50222,1022,3,58.79,38.6
50222,1000,1,57.92,48.07
50222,1011,2,174.67,116.54
50223,1011,2,174.67,116.54
50223,1004,3,29.05,22.94
50224,1012,3,158.43,100.73
50224,1001,1,156.96,114.33
50225,1004,2,29.05,22.94
50225,1031,2,30.5,24.61
50225,1013,2,45.68,29.42
50225,1005,1,33.22,22.94
50226,1004,3,29.05,22.94
50226,1019,3,49.9,38.49
50226,1026,1,33.93,27.96
50226,1021,1,26.77,21.04
50226,1035,3,144.8,97.97
50227,1006,2,15.07,11.68
50228,1015,2,40.83,26.09
50229,1035,1,144.8,97.97
50229,1034,3,170.37,116.05
50229,1026,3,33.93,27.96
50229,1033,1,173.12,114.12
50229,1018,2,63.98,54.67
50230,1005,1,33.22,22.94
50230,1015,2,40.83,26.09
50230,1013,3,45.68,29.42
50230,1007,3,144.78,104.61
50231,1038,1,109.74,83.69
50231,1011,2,174.67,116.54
50231,1021,3,26.77,21.04
50231,1026,1,33.93,27.96
50232,1034,2,170.37,116.05
50232,1027,2,96.91,64.14
50232,1038,1,109.74,83.69
50232,1001,3,156.96,114.33
50232,1031,3,30.5,24.61
50233,1002,1,103.94,89.18
50233,1012,2,158.43,100.73
50233,1000,3,57.92,48.07
50233,1023,2,61.77,47.13
50233,1036,3,59.93,40.03
50234,1009,3,106.58,86.43
50234,1020,1,99.84,75.36
50234,1001,1,156.96,114.33
50235,1001,3,156.96,114.33
50235,1020,3,99.84,75.36
50236,1025,3,132.87,95.3
50236,1033,1,173.12,114.12
50236,1029,2,16.48,10.34
50236,1001,2,156.96,114.33
50236,1003,2,115.15,73.85
50237,1025,2,132.87,95.3
50237,1015,3,40.83,26.09
50237,1022,3,58.79,38.6
50237,1018,2,63.98,54.67
50238,1021,3,26.77,21.04
50238,1039,3,66.86,55.62
50238,1033,2,173.12,114.12
50239,1025,2,132.87,95.3
50239,1000,1,57.92,48.07
50239,1033,1,173.12,114.12
50239,1007,2,144.78,104.61
50239,1016,2,47.58,39.99
50240,1017,3,80.92,65.35
50240,1019,2,49.9,38.49
50241,1011,1,174.67,116.54
50241,1015,3,40.83,26.09
50241,1001,1,156.96,114.33
50241,1029,2,16.48,10.34
50241,1023,1,61.77,47.13
50242,1022,1,58.79,38.6
50242,1028,1,86.55,73.13
50243,1020,1,99.84,75.36
50243,1023,3,61.77,47.13
50243,1029,2,16.48,10.34
50244,1003,1,115.15,73.85
50245,1017,3,80.92,65.35
50245,1034,2,170.37,116.05
50245,1003,2,115.15,73.85
50245,1035,2,144.8,97.97
50245,1023,1,61.77,47.13
50246,1024,1,73.33,57.45
50246,1009,3,106.58,86.43
50246,1012,3,158.43,100.73
50246,1025,3,132.87,95.3
50246,1027,3,96.91,64.14
50247,1039,1,66.86,55.62
50247,1027,1,96.91,64.14
50248,1021,1,26.77,21.04
50248,1035,3,144.8,97.97
50248,1032,2,14.38,12.48
50248,1031,2,30.5,24.61
50248,1001,3,156.96,114.33
50249,1016,3,47.58,39.99
50250,1008,1,103.49,74.13
50250,1026,3,33.93,27.96
50250,1029,2,16.48,10.34
50250,1028,1,86.55,73.13
50251,1005,3,33.22,22.94
50251,1017,3,80.92,65.35
50251,1024,1,73.33,57.45
50252,1030,1,112.12,74.87
50252,1024,2,73.33,57.45
50253,1022,3,58.79,38.6
50253,1026,3,33.93,27.96
50254,1016,2,47.58,39.99
50254,1027,3,96.91,64.14
50254,1013,2,45.68,29.42
50254,1037,2,19.21,16.23
50254,1038,1,109.74,83.69
50255,1021,2,26.77,21.04
50255,1034,1,170.37,116.05
50256,1029,1,16.48,10.34
50257,1035,3,144.8,97.97
50257,1010,3,11.69,7.37
50257,1017,2,80.92,65.35
50257,1026,1,33.93,27.96
50257,1001,2,156.96,114.33
50258,1027,1,96.91,64.14
50258,1000,2,57.92,48.07
50258,1017,1,80.92,65.35
50259,1031,2,30.5,24.61
50259,1017,1,80.92,65.35
50259,1001,2,156.96,114.33
50259,1005,1,33.22,22.94
50260,1023,3,61.77,47.13
50260,1038,2,109.74,83.69
50260,1013,3,45.68,29.42
50260,1039,2,66.86,55.62
50260,1019,2,49.9,38.49
50261,1011,2,174.67,116.54
50261,1022,1,58.79,38.6
50261,1012,2,158.43,100.73
50262,1015,1,40.83,26.09
50262,1029,2,16.48,10.34
50263,1018,3,63.98,54.67
50264,1001,1,156.96,114.33
50264,1014,3,36.77,25.91
50264,1008,2,103.49,74.13
50264,1006,1,15.07,11.68
50264,1002,2,103.94,89.18
50265,1036,2,59.93,40.03
50265,1037,3,19.21,16.23
50266,1031,1,30.5,24.61
50266,1035,3,144.8,97.97
50266,1027,3,96.91,64.14
50267,1015,2,40.83,26.09
50267,1008,1,103.49,74.13
50268,1019,1,49.9,38.49
50268,1010,3,11.69,7.37
50268,1000,2,57.92,48.07
50269,1037,2,19.21,16.23
50269,1022,3,58.79,38.6
50269,1011,1,174.67,116.54
50269,1017,2,80.92,65.35
50269,1019,2,49.9,38.49
50270,1037,2,19.21,16.23
50270,1018,2,63.98,54.67
50270,1012,1,158.43,100.73
50270,1016,2,47.58,39.99
50270,1015,3,40.83,26.09
50271,1001,1,156.96,114.33
50272,1018,2,63.98,54.67
50272,1014,3,36.77,25.91
50272,1025,2,132.87,95.3
50272,1000,3,57.92,48.07
50272,1026,1,33.93,27.96
50273,1025,3,132.87,95.3
50273,1023,3,61.77,47.13
50273,1012,3,158.43,100.73
50273,1028,3,86.55,73.13
50273,1019,2,49.9,38.49
50274,1021,1,26.77,21.04
50275,1008,2,103.49,74.13
50275,1023,2,61.77,47.13
50275,1038,2,109.74,83.69
50275,1022,1,58.79,38.6
50276,1032,1,14.38,12.48
50276,1026,2,33.93,27.96
50276,1034,3,170.37,116.05
50277,1001,2,156.96,114.33
50277,1000,3,57.92,48.07
50277,1020,2,99.84,75.36
50277,1016,1,47.58,39.99
50277,1006,2,15.07,11.68
50278,1021,2,26.77,21.04
50278,1002,2,103.94,89.18
50278,1005,1,33.22,22.94
50278,1001,3,156.96,114.33
50278,1031,2,30.5,24.61
50279,1000,2,57.92,48.07
50279,1015,3,40.83,26.09
50279,1028,1,86.55,73.13
50279,1019,3,49.9,38.49
50280,1021,2,26.77,21.04
50281,1008,1,103.49,74.13
50281,1025,3,132.87,95.3
50281,1034,1,170.37,116.05
50282,1008,3,103.49,74.13
50282,1025,3,132.87,95.3
50283,1004,3,29.05,22.94
50283,1005,2,33.22,22.94
50283,1023,1,61.77,47.13
50283,1029,3,16.48,10.34
50284,1014,3,36.77,25.91
50285,1034,1,170.37,116.05
50286,1032,1,14.38,12.48
50286,1031,3,30.5,24.61
50286,1013,2,45.68,29.42
50287,1022,1,58.79,38.6
50287,1016,3,47.58,39.99
50287,1033,1,173.12,114.12
50288,1010,2,11.69,7.37
50288,1001,2,156.96,114.33
50288,1013,1,45.68,29.42
50288,1034,3,170.37,116.05
50288,1037,3,19.21,16.23
50289,1038,1,109.74,83.69
50289,1021,3,26.77,21.04
50289,1037,1,19.21,16.23
50290,1017,3,80.92,65.35
50290,1009,2,106.58,86.43
50290,1036,2,59.93,40.03
50290,1035,3,144.8,97.97
50291,1026,3,33.93,27.96
50291,1028,1,86.55,73.13
50291,1034,1,170.37,116.05
50291,1007,1,144.78,104.61
50292,1015,1,40.83,26.09
50292,1026,2,33.93,27.96
50292,1032,3,14.38,12.48
50293,1034,1,170.37,116.05
50293,1037,3,19.21,16.23
50293,1003,3,115.15,73.85
50294,1019,1,49.9,38.49
50294,1020,1,99.84,75.36
50294,1008,3,103.49,74.13
50295,1009,1,106.58,86.43
50295,1016,1,47.58,39.99
50295,1030,1,112.12,74.87
50295,1033,3,173.12,114.12
50295,1020,2,99.84,75.36
50296,1016,2,47.58,39.99
